empid,promoted,training,manager,raise,salary,children,mstatus,age,sex,edu,vacation,weight,height,hrfriend,cxofriend,insurance,flexspend,retcont,race,disthome,testscore
5,No,No,No,Yes,Under $20k,2,divorced,49,Male,12,12,142.84,56.24,Yes,No,Medicaid,Yes,No,white,20,59
9,No,Yes,No,No,$40-$80k,0,divorced,32,Female,14,9,199.62,53.72,No,No,Covered,Yes,No,white,2,64.5
10,Yes,No,No,Yes,$20-$40k,2,married,53,Female,9,11,117.66,61.75,Yes,Yes,Covered & Medicaid,No,No,white,28,57
11,Yes,Yes,No,No,Under $20k,2,single,48,Male,10,11,171.88,61.06,No,No,Medicaid,Yes,No,white,7,61
12,No,No,No,Yes,Under $20k,0,single,60,Female,8,9,118.87,66.27,No,No,Medicaid,No,No,white,39,71.5
13,No,No,No,No,$40-$80k,0,divorced,38,Male,14,8,95.79,58.65,No,No,Covered,No,No,white,28,77
14,Yes,No,Yes,Yes,$40-$80k,1,single,31,Male,12,15,179.68,73.69,Yes,Yes,Covered,No,Yes,white,29,72.5
16,No,No,No,No,Under $20k,1,single,18,Female,13,13,200.41,55.23,No,No,Covered,No,No,white,24,42
17,No,Yes,No,No,Under $20k,2,divorced,34,Female,11,12,97.47,62.47,No,No,Medicaid,No,Yes,white,27,52
19,No,No,Yes,Yes,$40-$80k,2,single,24,Male,15,15,175.1,72.1,No,No,Covered,No,No,white,40,62
21,No,Yes,No,No,$20-$40k,1,single,48,Male,12,15,136.45,73.83,Yes,Yes,Covered & Medicaid,Yes,No,white,2,62
22,Yes,Yes,Yes,No,$40-$80k,2,single,52,Male,12,11,203.6,74.72,No,Yes,Covered,Yes,No,white,4,74.5
24,Yes,No,No,Yes,$40-$80k,2,married,30,Female,16,7,132.17,62.8,Yes,Yes,Covered,No,No,white,33,84.5
25,No,No,No,No,Under $20k,0,single,57,Male,3,10,196.68,57.04,Yes,No,Medicaid,Yes,No,white,35,50
28,Yes,No,No,No,Under $20k,0,divorced,55,Male,8,9,163.8,80.34,No,Yes,Medicaid,No,No,black,12,66.5
29,Yes,Yes,No,Yes,Under $20k,1,single,62,Male,14,8,90.39,68.64,No,Yes,Covered & Medicare,No,No,white,2,51.5
30,Yes,Yes,No,No,Under $20k,0,single,48,Female,11,12,138.6,54.32,Yes,Yes,Medicaid,Yes,No,white,29,61.5
31,No,No,No,No,$20-$40k,2,single,29,Male,11,11,152.97,65.08,Yes,No,Medicaid,No,No,black,21,42.5
32,No,No,No,Yes,Under $20k,2,single,47,Male,12,11,221.15,66.68,Yes,No,Medicaid,No,No,white,22,63.5
